d1,d2,d3,d4,d5
-777031,-701851,1028469,-866559,-184097
-228857,452523,808390,-312207,858925
791017,949358,923078,975387,165324
376818,567498,646560,471165,-115968
359630,-870684,970380,-598971,-154579
-506001,774701,520279,473237,960122
-354392,26410,-561274,-89158,-117570
31639,591484,991413,-400994,-759058
-736055,137499,554385,-218909,-799585
187115,1029778,-348700,287551,995950
204966,206569,118361,-122575,-61138
-941196,620476,744559,-532687,-245184
-643624,-537312,-25912,-818229,-668671
768492,112778,1554,-194343,-144756
-802145,-144063,130742,158001,184488
-178262,-785892,-655405,-221695,376385
-870386,555099,-575193,295305,750622
-587587,-185396,-61048,808642,41462
-949266,-948090,211159,-456493,-811327
-641322,-911418,881520,-761213,-618012
403312,192808,-944814,79054,868223
-809384,-639005,-202473,-996962,-454912
27221,790021,-289434,1033042,283777
359674,-759078,-714500,-381146,-310111
351559,-304197,-336414,-99153,646888
17026,546536,-213160,700715,-287264
871856,76501,-197391,-167450,502339
250687,-519565,243271,857361,221003
325510,-921578,971296,633748,48198
456244,81810,93564,-965429,-247631
331073,-1006692,-504030,2248,718229
-456624,18161,-1047619,249179,-207357
-312342,245522,-521512,428023,-606107
149997,278266,-173697,848625,-165222
318072,-151635,-908118,27025,520926
392054,-12069,-605440,-546934,-872169
218670,-335758,253596,-103007,455294
429147,-75877,-933235,1027498,-908095
-18361,42736,433611,564807,597299
-255089,143380,529716,765625,-37437
991475,135020,616896,518696,772280
566150,726036,951733,-953430,420988
-440620,609437,-167392,-215252,-788980
-502907,-615190,582330,229354,-591277
359686,1038598,-37062,-673276,-678964
-512424,899188,-69949,-666364,-743157
-722269,-474827,70254,370784,-258990
212564,-300752,26417,-21469,-2252
494730,286921,-895701,781042,-1023682
-888599,-994503,362502,-300909,-581568
-745681,217518,1017272,4978,-531766
408379,-124201,-616620,-169807,429723
211477,-654520,-448095,628796,466453
-984202,-597713,258983,-347377,-975290
-941248,903716,91193,-607327,-717085
-829856,-746767,274392,62719,-888908
128836,-70628,534987,726765,824720
467595,-569108,-113690,758459,40437
760599,781179,-920322,492881,-1046217
-306990,-333001,-879633,-720627,-732378
-87666,787685,320705,-642997,737682
-453922,-835661,-370859,828903,-856328
660988,-485826,499874,117325,-693073
-838505,-525533,-693377,430914,636128
441674,946147,-613553,683774,-821992
-619279,-134269,-40282,-768488,427154
-294101,-767795,281377,959266,-91283
-876995,608521,-1010362,-51874,-895267
-207165,-43138,688723,-876291,-233012
-133658,549498,172993,-641917,350816
42131,424272,-162742,-969928,-861977
-344103,67022,419662,-684599,-699322
466677,-38504,691953,1001775,1032907
-852981,-579375,733721,-51042,-309566
-771331,-923624,716349,989206,743467
212095,147660,887452,-131287,1047504
-799664,-106199,556565,-450250,259409
-377197,881866,-398312,-1044574,747063
-890999,365588,982743,-465646,907853
373788,-122521,529541,779851,-923556
824737,234385,-957441,-785188,-727984
-971036,-128316,1011637,684391,-499629
826396,-336610,-534306,-17809,554261
817091,229221,-297616,-1027539,847523
-619337,995490,-784530,936038,165977
129623,-63006,1021199,-772160,273639
676272,-563836,-567501,-919019,926294
-938850,722355,-236739,-711909,889230
631858,-804427,348841,-844216,681196
506228,-483027,-57165,934506,842464
465678,176005,165423,1003348,740185
243838,348814,-797918,-843906,756532
781875,-869539,-572632,608102,114089
-400999,524220,429806,-341209,480664
-1028021,-1005374,-964549,1019626,406634
301051,826688,849237,-642093,424545
-571927,1045166,396735,792214,-658436
733,-992427,625238,431541,-291271
-785975,156608,655795,-355479,107870
-811672,7,-213583,-64050,-183660
341660,-698984,217979,770144,955568
-364365,-360625,836923,-346195,-214884
604632,259979,221040,492961,-673875
1005908,-392623,-450269,410897,-281633
-727272,963648,-590227,-188679,-492539
410927,-822963,-36945,359381,-437220
-110505,53295,-231125,12603,-8503
-532139,-637405,-662302,-804215,851013
-369751,149864,-403943,746027,716260
-631357,-655958,-358278,943449,238565
-371225,937615,-300100,-150302,-207051
-738654,-476662,-134304,397012,-71617
13278,-688305,1039342,-293374,742734
-14581,458958,699583,-468268,-367360
1018553,65905,5128,-264080,-64905
905410,-862290,618504,-590390,-686710
744142,313064,990020,-694118,-738576
-151784,651640,-137107,640706,-53276
-262679,-251909,-267675,261939,-1001778
759288,-122005,481594,838798,-153734
-668099,583259,449242,795479,-637139
1042799,970485,180262,-530270,588414
-828345,812605,-75548,-803218,-283324
-672060,1031210,-490571,-232876,424000
99804,571983,-320942,-438947,22256
-740153,-37320,546229,-166211,-11174
869267,209398,-156747,192802,-566801
116614,913321,-370061,222005,-92073
-404013,879964,770649,868729,-980787
-733221,-818428,-1041164,-698982,-346531
-380033,117704,186043,-818462,593677
-204460,-502876,-584201,877948,-48349
527689,-57136,854443,778053,61571
-598520,337746,-784347,885052,900143
759888,-937396,893512,-111061,-812637
-103208,118632,-481553,-66523,-1046150
121062,-179697,370685,-1008072,56561
292575,-690000,732451,323614,702604
1046265,771659,-788640,243843,-114134
-1024464,-71076,265287,230109,-900423
-483870,-534911,680893,813430,-730892
-280138,-488455,281030,302534,826117
890891,-892262,-968730,1041429,41676
400455,-250552,-340159,247673,276115
-72699,169707,153562,755176,510081
832853,-355339,43168,988217,-1036176
151505,851558,-275018,279835,-34123
-920493,-727738,-62631,724078,-721747
-786220,-887446,-317225,-499010,286473
941388,192053,-316432,428049,749408
434409,454681,-167787,558459,90154
479882,-503993,721213,42617,-447881
-421090,101194,300681,280762,157565
-143602,485740,844104,482426,527071
-834136,378419,1014913,-428650,175895
18028,-443654,225064,532576,-220167
-184628,-873845,-871406,-456013,703115
722682,669368,593371,-378426,909549
495300,-182385,-901062,245427,-1018163
-611305,-48198,537676,-594913,659224
-520714,-91896,356267,-1015701,-465565
-514076,1023742,-65604,651457,1028067
904970,1016641,368587,-692291,53021
-308797,118439,-772936,1026656,225226
475046,-894107,784234,62161,471369
977830,306997,-895941,-748632,534852
240996,766624,464535,-136110,290322
-675598,12045,-1028111,559168,-519364
21791,321318,893780,-330775,-956254
1032235,782244,-618751,143755,-709415
350970,-565496,-526733,798215,-373010
-359465,-227110,-435681,-982842,620336
916447,-939636,-693473,661696,180047
611094,-356914,258275,-943808,478476
61814,256675,-89360,-217236,-206334
-946711,868765,-529811,897939,13102
621511,-198779,807134,-526536,38421
1035747,-643550,894088,305888,517621
-812382,-456732,-156981,579272,-590283
-611059,650066,-265721,-1007550,90934
-9466,-163852,730412,-512310,378341
171202,509000,394109,-144277,185450
35518,-88889,502581,-191098,-539471
550976,-1036175,728777,-170471,730022
124737,-343479,-136460,143010,472903
-431619,866242,-13225,-306889,-67853
-949003,-992620,380948,-655156,951158
-962621,156631,816046,-317739,-429453
-873657,-254807,-1025428,319833,-899182
-206938,42248,28774,902230,-241221
-309268,749041,-131232,-378016,1041872
777344,391320,-949884,-331729,195834
811099,510213,-690075,64711,142745
-424663,593097,-696033,-14392,-427699
218486,214440,-704828,-14669,-849766
-418725,-544712,-453647,-155186,-820682
221660,-2575,-10364,-10025,1043766
-51441,1040357,290588,-754320,-742563
258167,-541494,947494,-239409,819971
157564,453663,667658,149865,-421172
626098,847494,386188,-1019592,332523
-543743,404855,-257962,362468,-636603
200757,1044670,-644207,134040,-924385
-681410,49937,64293,-443798,706323
714335,-66266,517923,-384946,-891511
-146750,357406,519393,426796,-239947
608675,-839982,730318,564480,73817
577097,-494175,-214739,341138,966815
973661,360144,636797,936795,-906896
-745572,-587996,-240823,262177,953763
429424,165196,-762515,380921,117566
-985476,-662125,120217,-149889,-213785
548143,-686817,104811,-204462,68273
-696392,-46617,812288,-432268,427746
97202,567752,-790351,-1045070,-710666
-1033518,513539,-445010,-470874,-989383
-94554,9515,280542,683082,817302
775070,780830,529670,-312207,-533402
-1029298,-680356,-822617,531195,779707
167199,819466,733970,85862,-85784
-202844,407814,771756,-807573,-495535
-648091,728806,-416594,-326006,-818552
790609,466160,164847,709742,109665
-500991,502917,696954,243638,-45292
922786,518456,-752083,1006923,32811
932740,-531994,-51706,-444393,231239
424216,-426805,-17313,-955092,71995
714484,-824100,-979034,-384187,460537
-777698,96265,994913,472985,642949
155001,-414799,472491,251729,-583754
-832360,565623,430321,1014129,491519
702007,760605,715772,924786,104926
-304790,-949739,827543,-240468,457540
-808545,-540921,471571,-250788,640832
489481,783760,-972223,-599084,-512845
-786432,168906,348318,-811469,-534448
-918547,839394,42284,221804,-518961
960767,170768,-843905,-184536,1002421
-1013917,139529,-470338,-272199,567990
-544330,-958842,-838352,365048,-450009
-799862,-260091,-357141,-22432,537550
171170,239686,-765517,669214,-442703
562949,93698,-435230,-951748,974031
-507122,-140329,-678951,-442909,1015276
274132,-429670,135295,-326634,-790106
684468,-1002592,93100,300751,-978198
-340255,739103,504257,-274797,7866
192290,-995039,-36564,833311,-612226
545345,467383,737491,83231,892955
565753,941834,-205203,-587337,-822639
-633494,-87397,-505327,451808,4837
339230,692020,-384843,-982313,177824
520702,887933,101553,803867,-77119
776866,760818,299084,-948148,259530
397135,-837140,28884,-84732,-985429
222664,929127,43835,-432563,249791
679553,598407,308765,-729187,-485459
337846,136466,245253,187469,-627954
104797,661339,-49678,-1024241,-382391
-207039,-730918,-893822,-423667,617342
-285340,-735914,-215835,-510977,473881
-88149,712633,638523,-1006390,-861858
-449885,658822,-361899,-563370,-407402
-109245,714336,1032571,-589258,-508150
-247970,-744723,305642,-869704,873613
533734,-391540,-1003709,232807,540013
-173183,-688384,-429508,-855772,404927
44452,-192062,-828798,-893410,726941
43547,582185,555829,418040,-543455
982303,-718241,-448310,-872388,-852262
104556,864175,1000581,-951077,741659
-339985,383914,203135,181175,-435533
39553,826523,995056,-484715,-1007719
268576,-965262,-689959,-780183,71571
-33844,-805149,819190,-765680,203342
205606,768074,-281095,778904,695143
203332,898465,248052,-701621,-357352
-351153,-559001,973613,-326260,680087
-807635,-101823,-371186,543578,63251
-81933,867896,-520465,-298221,-384480
-854855,-413980,668510,-672558,-937705
436350,752708,599857,-425988,580743
-946159,198824,995037,-802532,-1017915
597794,452476,499343,123066,1002364
828776,-743826,156025,334655,841263
408401,190779,-82011,856476,496263
-270643,347579,34180,-1046369,-797104
-969665,-754192,-350040,1006655,972190
-713115,-1009042,1013810,-547050,804225
635521,-69872,557522,583462,14110
-1031033,-719147,-550789,912273,-827933
-862537,560965,880585,-653305,692611
1002886,491030,-405620,-192451,752424
-404604,-700439,435861,-435390,-603739
871920,-503481,-887491,-108200,1046760
-252373,-592532,-449212,-620731,-898250
65823,-585696,-340838,383138,612463
-585867,109930,546966,342675,-381771
-156911,644088,1002447,679158,-584158
-607393,-857589,-553912,-820840,-110997
-376204,759044,-540681,-738765,-575194
545283,864713,1046976,-1020138,783949
499702,163076,607552,5769,-187084
-455362,-779895,-120103,-571712,395839
652275,-78232,776913,-621093,-407196
372778,133254,-919002,1044327,-493016
806743,539166,794781,338368,-173868
843240,-312562,22454,832822,93190
692504,-1045566,345485,-494810,1027482
759721,534391,-810510,1016433,952275
-684908,-283169,-1005723,-326775,-421395
162419,78168,253849,38311,-1043342
915813,180765,-899186,-552459,760031
667169,220169,-619868,-745402,-372417
219465,767654,-855897,-740819,-383371
818349,109900,-356209,-922285,-1040771
-424722,-807580,-232007,53979,-843401
531491,-335476,862834,936756,-344604
-26030,-594068,488985,-256189,594441
599898,-563691,83204,1040816,-492622
-194542,4202,-350999,-768096,1027850
768933,-228368,-17551,-156630,-854450
-799814,487689,-865378,-600174,-724353
-130279,830013,705878,978397,-313872
734306,-748197,-485096,-894083,-120108
-491793,803822,407418,642325,-146739
866765,338240,466293,-651617,297340
373276,323914,649532,477170,813632
923097,342210,-399908,520557,28688
111752,-847441,128427,-482826,356295
-392876,920584,998147,663912,-390934
-538347,-796434,-976504,862619,-272940
305958,839882,743187,-421184,-1030182
527501,-718783,-437182,279826,-75869
323649,818628,-32296,147104,-650268
-812334,803764,208073,-44474,1010933
603363,-88078,595801,615956,802390
-524413,-743339,-63893,-441267,-315558
133849,-108208,728858,561030,834420
892394,849829,860541,776621,416738
-599392,587607,-385114,-499753,32973
-928534,-83577,48628,486725,-1031012
-109037,-537456,-724477,-1032885,-377060
-360772,-317026,546258,53105,-953601
218688,-355449,561695,520460,1026383
741425,-181595,-953723,704495,857458
838932,428082,576775,-577684,-609252
198563,-1009788,128064,217167,330824
529345,685181,-937831,-1000756,-433939
-223102,-696239,-779514,892468,-646195
-1024803,-1026358,305327,699600,935371
959467,847960,828679,1028332,-508325
512519,-214382,-728340,-444882,311284
878657,-264492,159628,-508556,1018530
254196,685276,129034,131451,182039
257107,950643,962863,280467,941066
-600684,-484407,1046093,-379968,-537182
844659,519897,-57055,-664544,310965
-946875,-42097,308030,-225533,126439
-456199,-667248,-372537,-536269,711492
-142625,563741,11230,896477,749390
111253,936935,74846,-465427,378873
-1048554,321796,-784216,-116386,-762507
-33877,111063,541855,-195157,-949415
-713682,941888,-603423,223339,86456
-400056,-360075,901313,781325,-835113
975791,296781,689702,961797,-774711
450141,-482081,-628800,357696,-324150
153911,311040,868449,273002,-317486
1025990,-304469,-886602,237156,-201185
775598,1019246,573558,-531464,35793
229232,279916,-428319,-604482,207773
266066,-106983,1043202,-382586,69665
555248,970211,66567,439255,586438
-161505,-84879,-764332,-482300,-745290
-250571,540010,376409,980369,849092
946293,-93483,416790,-919263,-517052
-249365,698193,1003776,-580448,90202
1025267,-555638,-1024602,-177804,545632
750949,-473461,1033265,-879030,-294432
431753,-788642,694798,-912729,492994
-1005950,1014301,-1036576,685938,-940497
-910021,-97525,-323093,587154,-67843
-357722,707275,627379,-278002,-160764
613633,158348,-801526,-727116,904579
-639687,-892814,409672,-234494,557784
-797632,687656,-787782,962994,884749
-72582,-929747,-154789,887693,-99715
-244378,-363823,1017159,-916989,1038406
122870,-174531,441855,818427,311017
-422463,460647,944660,933698,512188
771989,812270,-141630,-708814,-791334
33606,-748184,393033,-530813,-953649
-138543,-923079,-174603,670341,796309
-672750,817478,-363262,-516078,946224
-116721,620394,1047705,-685107,-312963
331524,-358509,223170,-389539,230025
-994149,710834,874848,-510883,979602
893213,744329,-256178,708263,-430412
-813141,151971,-829828,-408974,495795
638431,-280830,-273051,658252,956193
-770022,86412,-415531,833159,707298
504082,328038,-281402,233477,236462
-315243,628563,-331522,1024298,-749778
-533470,923129,1000175,476249,521561
-620183,653388,715571,-832935,-44591
114758,821019,948652,-345278,752183
-920440,-997195,-1007935,177660,818264
161835,-257084,-999711,548580,-713340
87113,55065,517500,296641,915877
-632763,36116,528011,378020,-975461
580979,682718,-519639,-923064,1017684
-193358,-443901,497004,662666,-210088
703301,-581498,80749,-1013745,-24292
483588,-832421,-741688,205512,-48974
624416,-755838,572734,656348,-999132
1015222,-467243,-922076,-592510,921160
-356371,33940,351892,429003,818801
-123583,-631270,-486706,444824,440278
787828,890144,978121,-804544,-406204
531895,-851409,-393930,-930374,791445
917438,-197776,-102339,160609,25814
-318989,831078,-827443,-29952,309440
896887,8375,-866360,140490,-745493
167743,-998504,392029,1044279,-149433
-1046730,912951,-360508,-897576,8253
-836,36898,-468025,-649256,22591
1038953,172974,-172168,45838,716416
-643641,-783189,381102,574509,986151
-980086,659466,995790,-247561,-163081
930175,959275,560237,432108,144583
384647,-1015564,-153384,516042,741046
-371575,46733,-795955,54859,746787
62285,-172570,412869,-116862,-324071
-567770,929577,-675839,-396654,-359934
997972,-236570,-336117,810280,-890172
-728819,-746009,926428,248455,594842
-196802,594959,556011,-116726,-573308
-367218,-72827,-677849,-770419,-27394
-913346,-23144,-170027,-185179,644747
-895093,-688629,109106,-312747,-277716
-795542,-578204,-358369,980196,-232170
125691,866967,-379358,575830,667202
-188047,-722863,-809984,-438017,8667
890257,-954502,-867838,-641026,117949
874481,-428750,197918,-1024784,-721402
12863,219654,-234551,-211148,707810
-13218,371024,961692,-848879,591790
222356,-80895,121009,699740,418434
-934668,-751022,820745,-823087,-828090
519686,392157,847365,532659,818494
788920,1015332,885725,975011,660405
490184,146759,-607321,-951797,816401
-442135,-613253,924122,-1021835,-153418
-202436,-390580,-25280,968224,330564
-1041801,-466193,231266,-999970,-994460
780149,-865685,943540,259270,-512465
722700,195834,-208751,645255,175788
-764142,778112,-225615,-228233,-189340
-489668,-887885,-393166,320185,333670
228025,-1047091,-200773,-83989,632984
676697,-977116,-895785,715743,-333733
-459112,-837943,938306,-970318,840120
535590,566144,226199,598233,379164
533191,968157,-493471,98787,-466202
-467460,472995,291803,-823046,195837
-1047755,-945257,710533,673623,-349048
152923,471548,-419732,82807,1043853
551641,-574421,-874305,522376,344219
524055,-512240,-568205,261021,-645093
620554,-826167,-173658,-729593,-198181
1018968,-190129,944933,-334153,-709309
2916,315798,729692,-324199,-851167
-506950,985075,-95779,-475130,-886772
-515337,555316,-576123,-781173,356795
146090,-960420,-2935,554138,979834
-1019464,-705928,-765655,-416922,745365
501600,-137462,757332,-636096,5892
-197752,651884,-949410,-360936,-6983
776061,306668,-47732,-40251,172405
462535,277439,600630,380492,712937
44282,-986340,928542,554118,-864372
-324267,-253348,-220907,-755282,340233
964251,-95194,986173,390286,923826
-169172,38508,851618,-7338,452554
-683496,531269,479477,277959,-570411
-978621,-446078,-707586,316926,-100530
1033946,268322,674002,-689510,-531444
326090,157003,-922506,-1275,-747799
730433,327772,842553,260436,-416697
985461,-555782,-912758,15288,-584035
115008,-1001306,321864,-226132,119941
-1024029,967643,704500,961274,547430
-233755,485930,-809904,28247,-28518
495963,933062,151419,-973458,426514
-500215,-774885,609355,168155,-293960
207907,-813670,565835,-382875,194800
-447565,376346,564919,767046,742503
-680671,93507,807878,539874,-999302
-399710,497752,94640,-729733,-404776
-1028462,569424,-1019029,587978,204343
-65005,542996,90987,246716,17246
-999613,692691,634416,188081,-68895
-241629,807819,556989,16383,-25539
359323,157646,-137236,178385,-29040
-479213,-676681,383551,-101308,-834770
-889967,831014,-1027858,645946,-492145
206761,654563,-1029807,-803055,-352459
838540,911490,822576,-83607,503207
-186163,-180067,-962390,-357048,-497610
362853,-1010140,176986,-442958,624746
713391,-478289,113648,134771,91918
-323629,108867,-100799,-1000448,-412094
114147,29009,892842,-189276,553724
124597,415112,-853449,353522,-173118
-579008,-336256,1008810,445599,-291802
-363287,613391,598122,-887294,-838814
-795377,-234705,123068,-871495,-259262
885236,-220318,433591,195449,794429
44222,29813,-621565,-771707,-831759
-48510,-204882,431272,152792,-726509
-747017,120842,-759193,920669,-850079
-810056,-9576,-774745,-410523,58624
1007430,181098,-200275,-196483,254934
713848,-551093,88240,200541,-109113
-197936,-430795,316925,893521,-238530
372606,-861168,-280916,-392272,-17207
945333,679786,312167,-734507,885151
607519,-771523,-758636,-463956,595957
650113,-1011485,-529946,937582,-911555
-502931,889374,18371,84177,860148
579562,-549621,-935974,-510860,-658027
86776,-562981,-461705,-563610,-916331
-823898,-391828,848235,-716416,-244904
-433642,798237,-172870,929613,-690388
635461,-692376,147949,260437,-679452
85478,-543432,808620,-31529,-729190
-613135,-705838,306879,-551568,31306
-654913,262870,-481121,913344,-658176
232045,-237113,-719605,-266190,-1004013
-124275,-330339,-831159,960099,-516533
-463554,959298,-617211,-866039,922968
792204,-946641,-662582,-920262,-993912
286679,-1024037,-18212,512935,548905
-235975,-478700,-568386,-54740,-373566
276308,318371,632284,165080,439299
317567,673011,121787,937498,-441441
855500,-79049,-501982,851719,-1030671
-410584,-997738,-38141,-379639,-287682
-851319,791534,831449,-234828,654793
135288,105730,-225470,-181203,-866456
-730302,502620,76399,-536866,-111993
-51549,-136947,78574,-647659,988699
275344,232344,-322301,695599,750373
-899077,-1031522,706085,-152456,-66283
-87315,-784669,685149,-184004,915733
742909,935358,-33358,-187607,-692002
396120,346485,250862,60938,685671
-243132,-437351,826235,-94294,-334919
794614,653653,652318,496536,-305954
661708,919874,-699540,135465,-387589
-164461,242117,-338662,566708,-284907
-293978,-32195,-99425,-788240,-495455
754196,732799,-419678,-367772,489151
662016,-738422,362919,688566,-771548
787545,614285,466427,807465,-297551
521198,-795856,-82177,296197,-741791
-77007,-673274,649345,-714775,843034
-366882,-530042,-508070,-552955,328228
-653752,-103264,-999338,388673,833329
659974,-184543,-177894,-65733,385560
823611,-666808,729448,645356,-435916
-392849,995575,-518918,851992,-383169
360026,-192722,236037,-857595,471068
-524786,-1003882,-225318,386813,-329336
458013,1047950,119631,-89021,-953014
-839545,202657,-843304,-227673,-826886
-726139,-356407,-209803,-906831,76062
-989581,339628,-70942,-138894,288732
-315081,-672247,175321,-468400,392166
-959884,-344395,320378,533297,-205758
-1009307,989974,-837758,946818,-569563
-820398,947053,513272,678979,-618732
1005683,250887,-911731,860746,975397
-451688,729126,672611,-985363,66997
-431972,-585235,344763,499143,5484
211389,71514,-76911,-488805,777398
-236175,680803,-915510,-720579,-729871
473282,-16888,956595,-1010670,-670071
958513,924890,909829,-987536,-518105
-378251,-443920,893179,621814,-63061
21065,371954,939940,-390726,169080
625862,298827,1698,203534,159227
233302,-844541,393316,-500733,-555997
4772,-68781,-462387,-187776,622458
-257713,-975249,16706,-956814,-665401
-349808,539332,20482,880360,99000
940132,-989004,-964800,629327,-741116
613442,209724,1929,675139,-769944
-155906,999728,477258,-120384,417537
-777228,-890479,166784,-424341,-423297
-967040,61327,-1027482,84363,-526995
927086,516080,62187,-348348,979380
-532599,-195435,436627,-56091,-477949
-972409,-943171,570468,-1008482,43327
-883760,-305953,12948,356782,305662
-979515,964264,253087,-568856,-706046
-692043,-169494,-1038498,877842,573334
1043201,-453507,735743,417821,691056
-1032001,364676,-788769,-978888,-658599
-364702,116773,597590,22105,729335
-821498,444272,-755117,888914,482303
-782426,525479,-247897,-195862,933089
-448473,-1022929,-310372,713681,309577
565016,-4610,508867,99062,-938606
377283,-941629,-940202,-279975,-655040
-263544,-55354,263454,-20287,-471416
-979846,-33624,761028,989102,250058
246023,875604,-1006990,-10214,875073
81389,382493,-403643,-167524,373587
-42275,856739,351315,-29626,347360
236666,939997,-721677,-556159,-643727
188747,538144,-270547,-872462,609521
787222,512867,377191,-1009637,-517424
237319,-728798,-456876,419217,-676130
887065,957304,-303693,-67319,244532
-140743,-432260,133447,-20954,330550
428350,-1031354,-224560,142464,-172004
-166593,-301164,-370747,-918799,-985113
20203,-1014222,-539372,320927,821950
-1012552,-634390,-90601,28964,288843
-151776,323293,584543,-687703,869155
395815,766491,-259123,-419294,-595300
-984747,1001600,1013679,842362,275530
223449,168082,-542263,117701,-500129
-917474,38445,967415,454381,-912051
564340,-274876,-99995,-108078,907287
-89705,-661399,66557,570498,-199567
-750449,-1026644,-868556,362183,-196382
849692,-196049,-96343,396286,896932
-508364,244996,-998870,-807374,498525
199958,-271988,-319688,607519,63499
285858,-398512,-428312,-454452,272495
828688,-812173,-431551,-99639,-898431
-549270,119664,-559251,851423,404381
-351880,-171828,-397789,518548,-588382
91905,548737,1019720,-853509,-432824
-153357,1013580,-516743,420710,-76881
-1047532,530636,-659240,-364018,-805190
-148318,-351201,181401,19340,-685309
601326,687719,1033288,-312717,-1039190
-90512,1017381,644645,780930,77943
